num;nomenclature;code;mnemonique;libelle;Définition;statut;creation;modification;ressource
1;LISTE;1;LISTE;Liste des nomenclatures;Nomenclature des nomenclatures existantes;Validé;20/10/2015;21/06/2016;https://standards-sinp.mnhn.fr/wp-content/uploads/sites/16/nomenclatures/1-LISTE_2016-06-21.csv
1;LISTE;2;DS_PUBLIQUE;Code d'origine de la donnée;Nomenclature des codes d'origine de la donnée : publique, privée, mixte...;Validé;05/12/2013;05/12/2013;https://standards-sinp.mnhn.fr/wp-content/uploads/sites/16/nomenclatures/1-LISTE_2016-06-21.csv
1;LISTE;3;NAT_OBJ_GEO;Nature d'objet géographique;Nomenclature des natures d'objets géographiques;Validé;22/01/2014;15/10/2015;https://standards-sinp.mnhn.fr/wp-content/uploads/sites/16/nomenclatures/1-LISTE_2016-06-21.csv
1;LISTE;4;DEE_FLOU;Existence d'un floutage sur la donnée;Nomenclature indiquant l'existence d'un floutage sur la donnée lors de sa création en tant que DEE.;Validé;18/09/2015;15/10/2015;https://standards-sinp.mnhn.fr/wp-content/uploads/sites/16/nomenclatures/1-LISTE_2016-06-21.csv
1;LISTE;5;NIV_PRECIS;Niveaux de précision de diffusion souhaités;Nomenclature des niveaux de précision de diffusion souhaités par le producteur.;Validé;29/07/2015;15/10/2015;https://standards-sinp.mnhn.fr/wp-content/uploads/sites/16/nomenclatures/1-LISTE_2016-06-21.csv
1;LISTE;6;OBJ_DENBR;Objet du dénombrement;Nomenclature des objets qui peuvent être dénombrés;Validé;22/01/2014;15/10/2015;https://standards-sinp.mnhn.fr/wp-content/uploads/sites/16/nomenclatures/1-LISTE_2016-06-21.csv
1;LISTE;7;ETA_BIO;Etat biologique de l'observation;Nomenclature des états biologiques de l'observation.;Validé;29/07/2015;19/10/2015;https://standards-sinp.mnhn.fr/wp-content/uploads/sites/16/nomenclatures/1-LISTE_2016-06-21.csv
1;LISTE;8;NATURALITE;Niveau de naturalité;Nomenclature des niveaux de naturalité;Validé;29/07/2015;19/10/2015;https://standards-sinp.mnhn.fr/wp-content/uploads/sites/16/nomenclatures/1-LISTE_2016-06-21.csv
1;LISTE;9;SEXE;Sexe;Nomenclature des sexes;Validé;29/07/2015;19/10/2015;https://standards-sinp.mnhn.fr/wp-content/uploads/sites/16/nomenclatures/1-LISTE_2016-06-21.csv
1;LISTE;10;STADE_VIE;Stade de vie : stade de développement du sujet;Nomenclature des stades de vie : stades de développement du sujet de l'observation.;Validé;29/07/2015;24/03/2016;https://standards-sinp.mnhn.fr/wp-content/uploads/sites/16/nomenclatures/1-LISTE_2016-06-21.csv
1;LISTE;11;STAT_BIOGEO;Statut biogéographique;Nomenclature des statuts biogéographiques.;Validé;29/07/2015;15/10/2015;https://standards-sinp.mnhn.fr/wp-content/uploads/sites/16/nomenclatures/1-LISTE_2016-06-21.csv
1;LISTE;12;REF_HAB;Référentiels d'habitats et typologies;Nomenclature des référentiels d'habitats et typologies utilisés pour rapporter un habitat au sein du standard. La référence à paraître prochainement est HABREF. http://inpn.mnhn.fr/telechargement/referentiels/habitats Les typologies sont disponibles à la même adresse, mais seront prochainement à l'adresse suivante : http://inpn.mnhn.fr/telechargement/referentiels/habitats/typologies;Validé;13/03/2013;15/10/2015;https://standards-sinp.mnhn.fr/wp-content/uploads/sites/16/nomenclatures/1-LISTE_2016-06-21.csv
1;LISTE;13;STATUT_BIO;Statut biologique;Nomenclature des statuts biologiques.;Validé;29/07/2015;16/12/2015;https://standards-sinp.mnhn.fr/wp-content/uploads/sites/16/nomenclatures/1-LISTE_2016-06-21.csv
1;LISTE;14;METH_OBS;Méthodes d'observation;Nomenclature des méthodes d'observation, indiquant de quelle manière ou avec quel indice on a pu observer le sujet.;Validé;29/07/2015;16/12/2015;https://standards-sinp.mnhn.fr/wp-content/uploads/sites/16/nomenclatures/1-LISTE_2016-06-21.csv
1;LISTE;15;PREUVE_EXIST;Preuve existante;Nomenclature de l'existence des preuves.;Validé;29/07/2015;16/12/2015;https://standards-sinp.mnhn.fr/wp-content/uploads/sites/16/nomenclatures/1-LISTE_2016-06-21.csv
1;LISTE;16;SENSIBILITE;Niveau de sensibilité;Nomenclature des niveaux de sensibilité possibles;Validé;10/06/2015;07/04/2016;https://standards-sinp.mnhn.fr/wp-content/uploads/sites/16/nomenclatures/1-LISTE_2016-06-21.csv
1;LISTE;17;SENSIBLE;Valeurs de sensibilité qualitative;Nomenclature des valeurs de sensibilité qualitative (oui/non);Validé;29/07/2015;07/04/2016;https://standards-sinp.mnhn.fr/wp-content/uploads/sites/16/nomenclatures/1-LISTE_2016-06-21.csv
1;LISTE;18;STATUT_OBS;Statut d'observation;Nomenclature des statuts d'observation.;Validé;05/12/2013;24/03/2016;https://standards-sinp.mnhn.fr/wp-content/uploads/sites/16/nomenclatures/1-LISTE_2016-06-21.csv
1;LISTE;19;STATUT_SOURCE;Statut de la source;Nomenclature des statuts possibles de la source.;Validé;04/12/2013;04/12/2013;https://standards-sinp.mnhn.fr/wp-content/uploads/sites/16/nomenclatures/1-LISTE_2016-06-21.csv
1;LISTE;20;TYP_ATTR;Type de l'attribut;Nomenclature des types d'attributs additionnels.;Validé;16/09/2015;07/12/2015;https://standards-sinp.mnhn.fr/wp-content/uploads/sites/16/nomenclatures/1-LISTE_2016-06-21.csv
1;LISTE;21;DENBR;Type de dénombrement;Nomenclature des types de dénombrement possibles (comptage, estimation...);Validé;22/01/2014;16/12/2015;https://standards-sinp.mnhn.fr/wp-content/uploads/sites/16/nomenclatures/1-LISTE_2016-06-21.csv
1;LISTE;22;TYP_EN;Type d'espace naturel;Nomenclature des types d'espaces naturels.;Validé;22/01/2014;15/06/2016;https://standards-sinp.mnhn.fr/wp-content/uploads/sites/16/nomenclatures/1-LISTE_2016-06-21.csv
1;LISTE;23;TYP_INF_GEO;Type d'information géographique;Nomenclature des types d'information géographique dans le cas de l'utilisation d'un rattachement à un objet géographique (commune, département, espace naturel, masse d'eau...).;Validé;18/09/2015;16/12/2015;https://standards-sinp.mnhn.fr/wp-content/uploads/sites/16/nomenclatures/1-LISTE_2016-06-21.csv
1;LISTE;24;TYP_GRP;Type de regroupement;Nomenclature listant les valeurs possibles pour le type de regroupement.;Validé;09/06/2015;07/12/2015;https://standards-sinp.mnhn.fr/wp-content/uploads/sites/16/nomenclatures/1-LISTE_2016-06-21.csv
1;LISTE;25;VERS_ME;Version des masses d'eau;Nomenclature des versions du référentiel SANDRE utilisé pour les masses d'eau.;Validé;18/09/2015;16/12/2015;https://standards-sinp.mnhn.fr/wp-content/uploads/sites/16/nomenclatures/1-LISTE_2016-06-21.csv
1;LISTE;26;ACC2;Raison de niveau d'accessibilité;Nomenclature des raisons d'un niveau d'accessibilité;Validé;07/04/2016;08/04/2016;https://standards-sinp.mnhn.fr/wp-content/uploads/sites/16/nomenclatures/1-LISTE_2016-06-21.csv
1;LISTE;27;ACC;Niveau d'accessibilité;Nomenclature des niveaux d'accessibilité à un site géologique;Validé;07/04/2016;08/04/2016;https://standards-sinp.mnhn.fr/wp-content/uploads/sites/16/nomenclatures/1-LISTE_2016-06-21.csv
1;LISTE;28;AUTPREAL;Autorisation préalable pour accès;Nomenclature des valeurs concernant l'éventuelle délivrance d'une autorisation préalable pour accéder à un site;Validé;07/04/2016;08/04/2016;https://standards-sinp.mnhn.fr/wp-content/uploads/sites/16/nomenclatures/1-LISTE_2016-06-21.csv
1;LISTE;29;GILGES;Code Gilges;Nomenclature des codes Gilges;Validé;07/04/2016;08/04/2016;https://standards-sinp.mnhn.fr/wp-content/uploads/sites/16/nomenclatures/1-LISTE_2016-06-21.csv
1;LISTE;30;REGION;Code région;Nomenclature des codes région;Validé;07/04/2016;08/04/2016;https://standards-sinp.mnhn.fr/wp-content/uploads/sites/16/nomenclatures/1-LISTE_2016-06-21.csv
