lb_nom_key,cd_nom_key,lb_cd_nom_key,regne_key,groupe,group1_inpn,code_espece_key,version_taxref,sortby
"Abortiporus <b><span style=""color:#02138e"">(nom valide)</span></b>",188671,Abortiporus!188671,Fungi,Autres,Basidiomycètes,abo,15,1
"Abrothallus <b><span style=""color:#02138e"">(nom valide)</span></b>",188675,Abrothallus!188675,Fungi,Lichens,Ascomycètes,abr,15,2
"Absconditella <b><span style=""color:#02138e"">(nom valide)</span></b>",188676,Absconditella!188676,Fungi,Autres,Ascomycètes,abs,15,3
"Acanthobasidium <b><span style=""color:#02138e"">(nom valide)</span></b>",188692,Acanthobasidium!188692,Fungi,Autres,Basidiomycètes,aca,15,4
"Acanthohelicospora <b><span style=""color:#02138e"">(nom valide)</span></b>",933660,Acanthohelicospora!933660,Fungi,Autres,Ascomycètes,aca,15,5
"Acanthonitschkea <b><span style=""color:#02138e"">(nom valide)</span></b>",188708,Acanthonitschkea!188708,Fungi,Autres,Ascomycètes,aca,15,6
"Acanthophiobolus <b><span style=""color:#02138e"">(nom valide)</span></b>",188709,Acanthophiobolus!188709,Fungi,Autres,Ascomycètes,aca,15,7
"Acanthophysellum <b><span style=""color:#02138e"">(nom valide)</span></b>",460761,Acanthophysellum!460761,Fungi,Autres,Basidiomycètes,aca,15,8
"Acanthophysium <b><span style=""color:#02138e"">(nom valide)</span></b>",188710,Acanthophysium!188710,Fungi,Autres,Basidiomycètes,aca,15,9
"Acanthostigma <b><span style=""color:#02138e"">(nom valide)</span></b>",188715,Acanthostigma!188715,Fungi,Autres,Ascomycètes,aca,15,10
"Acanthostigmella <b><span style=""color:#02138e"">(nom valide)</span></b>",188716,Acanthostigmella!188716,Fungi,Autres,Ascomycètes,aca,15,11
"Acanthostigmina <b><span style=""color:#02138e"">(nom valide)</span></b>",864713,Acanthostigmina!864713,Fungi,Autres,Ascomycètes,aca,15,12
"Acarospora <b><span style=""color:#02138e"">(nom valide)</span></b>",188722,Acarospora!188722,Fungi,Autres,Ascomycètes,aca,15,13
"Achroomyces <b><span style=""color:#02138e"">(nom valide)</span></b>",188749,Achroomyces!188749,Fungi,Autres,Basidiomycètes,ach,15,14
"Aciculariella <b><span style=""color:#02138e"">(nom valide)</span></b>",857682,Aciculariella!857682,Fungi,Autres,Ascomycètes,aci,15,15
"Acicuseptoria <b><span style=""color:#02138e"">(nom valide)</span></b>",864338,Acicuseptoria!864338,Fungi,Autres,Ascomycètes,aci,15,16
"Acremoniella <b><span style=""color:#02138e"">(nom valide)</span></b>",862299,Acremoniella!862299,Fungi,Autres,Ascomycètes,acr,15,17
"Acremoniula <b><span style=""color:#02138e"">(nom valide)</span></b>",862301,Acremoniula!862301,Fungi,Autres,Ascomycètes,acr,15,18
"Acremonium <b><span style=""color:#02138e"">(nom valide)</span></b>",359520,Acremonium!359520,Fungi,Autres,Ascomycètes,acr,15,19
"Acrocordia <b><span style=""color:#02138e"">(nom valide)</span></b>",188775,Acrocordia!188775,Fungi,Autres,Ascomycètes,acr,15,20
"Acrocordiella <b><span style=""color:#02138e"">(nom valide)</span></b>",862304,Acrocordiella!862304,Fungi,Autres,Ascomycètes,acr,15,21
"Acrodictys <b><span style=""color:#02138e"">(nom valide)</span></b>",796582,Acrodictys!796582,Fungi,Autres,Ascomycètes,acr,15,22
"Acrogenospora <b><span style=""color:#02138e"">(nom valide)</span></b>",862026,Acrogenospora!862026,Fungi,Autres,Ascomycètes,acr,15,23
"Acrophialophora <b><span style=""color:#02138e"">(nom valide)</span></b>",864104,Acrophialophora!864104,Fungi,Autres,Ascomycètes,acr,15,24
