lb_nom_key,cd_nom_key,lb_cd_nom_key,regne_key,groupe,group1_inpn,code_espece_key,version_taxref,sortby
"Aaronsohnia <b><span style=""color:#02138e"">(nom valide)</span></b>",606842,Aaronsohnia!606842,Plantae,Angiospermes,Trachéophytes,aar,15,1
"Abelia <b><span style=""color:#02138e"">(nom valide)</span></b>",788758,Abelia!788758,Plantae,Angiospermes,Trachéophytes,abe,15,2
"Abies <b><span style=""color:#02138e"">(nom valide)</span></b>",188665,Abies!188665,Plantae,Gymnospermes,Trachéophytes,abi,15,3
"Abietinella <b><span style=""color:#02138e"">(nom valide)</span></b>",433851,Abietinella!433851,Plantae,Mousses,Bryophytes,abi,15,4
"Abutilon <b><span style=""color:#02138e"">(nom valide)</span></b>",188678,Abutilon!188678,Plantae,Angiospermes,Trachéophytes,abu,15,5
"Acacia <b><span style=""color:#02138e"">(nom valide)</span></b>",188680,Acacia!188680,Plantae,Angiospermes,Trachéophytes,aca,15,6
"Acalypha <b><span style=""color:#02138e"">(nom valide)</span></b>",188683,Acalypha!188683,Plantae,Angiospermes,Trachéophytes,aca,15,7
"Acanthoprasium <b><span style=""color:#02138e"">(nom valide)</span></b>",715600,Acanthoprasium!715600,Plantae,Angiospermes,Trachéophytes,aca,15,8
"Acanthospermum <b><span style=""color:#02138e"">(nom valide)</span></b>",188713,Acanthospermum!188713,Plantae,Angiospermes,Trachéophytes,aca,15,9
"Acanthosphaera <b><span style=""color:#02138e"">(nom valide)</span></b>",188714,Acanthosphaera!188714,Plantae,Chlorophytes et Charophytes,Algues,aca,15,10
"Acanthus <b><span style=""color:#02138e"">(nom valide)</span></b>",188719,Acanthus!188719,Plantae,Angiospermes,Trachéophytes,aca,15,11
"Acaulon <b><span style=""color:#02138e"">(nom valide)</span></b>",188727,Acaulon!188727,Plantae,Mousses,Bryophytes,aca,15,12
"Acer <b><span style=""color:#02138e"">(nom valide)</span></b>",188731,Acer!188731,Plantae,Angiospermes,Trachéophytes,ace,15,13
"Acetabularia <b><span style=""color:#02138e"">(nom valide)</span></b>",355155,Acetabularia!355155,Plantae,Chlorophytes et Charophytes,Algues,ace,15,14
"Achillea <b><span style=""color:#02138e"">(nom valide)</span></b>",188746,Achillea!188746,Plantae,Angiospermes,Trachéophytes,ach,15,15
"Achnatherum <b><span style=""color:#02138e"">(nom valide)</span></b>",188748,Achnatherum!188748,Plantae,Angiospermes,Trachéophytes,ach,15,16
"Acicarpha <b><span style=""color:#02138e"">(nom valide)</span></b>",788762,Acicarpha!788762,Plantae,Angiospermes,Trachéophytes,aci,15,17
"Aciphylla <b><span style=""color:#02138e"">(nom valide)</span></b>",606843,Aciphylla!606843,Plantae,Angiospermes,Trachéophytes,aci,15,18
"Acis <b><span style=""color:#02138e"">(nom valide)</span></b>",606844,Acis!606844,Plantae,Angiospermes,Trachéophytes,aci,15,19
"Acmella <b><span style=""color:#02138e"">(nom valide)</span></b>",607063,Acmella!607063,Plantae,Angiospermes,Trachéophytes,acm,15,20
"Acmispon <b><span style=""color:#02138e"">(nom valide)</span></b>",715604,Acmispon!715604,Plantae,Angiospermes,Trachéophytes,acm,15,21
"Aconitum <b><span style=""color:#02138e"">(nom valide)</span></b>",188767,Aconitum!188767,Plantae,Angiospermes,Trachéophytes,aco,15,22
"Acorus <b><span style=""color:#02138e"">(nom valide)</span></b>",188769,Acorus!188769,Plantae,Angiospermes,Trachéophytes,aco,15,23
"Acrosiphonia <b><span style=""color:#02138e"">(nom valide)</span></b>",349683,Acrosiphonia!349683,Plantae,Chlorophytes et Charophytes,Algues,acr,15,24
"Actaea <b><span style=""color:#02138e"">(nom valide)</span></b>",188786,Actaea!188786,Plantae,Angiospermes,Trachéophytes,act,15,25
"Actinastrum <b><span style=""color:#02138e"">(nom valide)</span></b>",188796,Actinastrum!188796,Plantae,Chlorophytes et Charophytes,Algues,act,15,26
"Actinidia <b><span style=""color:#02138e"">(nom valide)</span></b>",609584,Actinidia!609584,Plantae,Angiospermes,Trachéophytes,act,15,27
"Actinotaenium <b><span style=""color:#02138e"">(nom valide)</span></b>",188805,Actinotaenium!188805,Plantae,Chlorophytes et Charophytes,Autres,act,15,28
"Adelanthus <b><span style=""color:#02138e"">(nom valide)</span></b>",188813,Adelanthus!188813,Plantae,Hépatiques et Anthocérotes,Bryophytes,ade,15,29
"Adenocarpus <b><span style=""color:#02138e"">(nom valide)</span></b>",188818,Adenocarpus!188818,Plantae,Angiospermes,Trachéophytes,ade,15,30
"Adenostyles <b><span style=""color:#02138e"">(nom valide)</span></b>",188820,Adenostyles!188820,Plantae,Angiospermes,Trachéophytes,ade,15,31
"Adiantum <b><span style=""color:#02138e"">(nom valide)</span></b>",188823,Adiantum!188823,Plantae,Ptéridophytes,Trachéophytes,adi,15,32
"Adonis <b><span style=""color:#02138e"">(nom valide)</span></b>",188828,Adonis!188828,Plantae,Angiospermes,Trachéophytes,ado,15,33
"Adoxa <b><span style=""color:#02138e"">(nom valide)</span></b>",188829,Adoxa!188829,Plantae,Angiospermes,Trachéophytes,ado,15,34
"Aegagropila <b><span style=""color:#02138e"">(nom valide)</span></b>",850835,Aegagropila!850835,Plantae,Chlorophytes et Charophytes,Algues,aeg,15,35
"Aegilops <b><span style=""color:#02138e"">(nom valide)</span></b>",188834,Aegilops!188834,Plantae,Angiospermes,Trachéophytes,aeg,15,36
"Aegonychon <b><span style=""color:#02138e"">(nom valide)</span></b>",938207,Aegonychon!938207,Plantae,Angiospermes,Trachéophytes,aeg,15,37
"Aegopodium <b><span style=""color:#02138e"">(nom valide)</span></b>",188841,Aegopodium!188841,Plantae,Angiospermes,Trachéophytes,aeg,15,38
"Aeluropus <b><span style=""color:#02138e"">(nom valide)</span></b>",188845,Aeluropus!188845,Plantae,Angiospermes,Trachéophytes,ael,15,39
"Aeonium <b><span style=""color:#02138e"">(nom valide)</span></b>",188851,Aeonium!188851,Plantae,Angiospermes,Trachéophytes,aeo,15,40
